timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1676146391615,840,GET HTTP Request,200,OK,Thread Group 1-7,text,true,,28543,138,15,15,https://jsonplaceholder.typicode.com/posts,706,0,629
1676146391514,983,GET HTTP Request,200,OK,Thread Group 1-6,text,true,,28553,138,15,15,https://jsonplaceholder.typicode.com/posts,959,0,743
1676146392415,332,GET HTTP Request,200,OK,Thread Group 1-15,text,true,,28552,138,18,18,https://jsonplaceholder.typicode.com/posts,310,0,134
1676146392457,307,POST HTTP Request,201,Created,Thread Group 1-7,text,false,"The operation lasted too long: It took 307 milliseconds, but should not have lasted longer than 300 milliseconds.",1138,426,18,18,https://jsonplaceholder.typicode.com/posts,307,0,0
1676146392498,290,POST HTTP Request,201,Created,Thread Group 1-6,text,false,"The result was the wrong size: It was 1,116 bytes, but should have been greater or equal to 1,119 bytes.",1131,426,18,18,https://jsonplaceholder.typicode.com/posts,290,0,0
1676146391117,1692,GET HTTP Request,200,OK,Thread Group 1-2,text,true,,28553,138,18,18,https://jsonplaceholder.typicode.com/posts,1473,0,1134
1676146391714,1127,GET HTTP Request,200,OK,Thread Group 1-8,text,true,,28551,138,19,19,https://jsonplaceholder.typicode.com/posts,792,0,530
1676146392613,268,GET HTTP Request,200,OK,Thread Group 1-17,text,true,,28551,138,19,19,https://jsonplaceholder.typicode.com/posts,243,0,167
1676146391107,1778,GET HTTP Request,200,OK,Thread Group 1-1,text,true,,28551,138,19,19,https://jsonplaceholder.typicode.com/posts,1220,0,1136
1676146391913,978,GET HTTP Request,200,OK,Thread Group 1-10,text,true,,28546,138,19,19,https://jsonplaceholder.typicode.com/posts,692,0,345
1676146391216,1679,GET HTTP Request,200,OK,Thread Group 1-3,text,true,,28555,138,19,19,https://jsonplaceholder.typicode.com/posts,1404,0,1041
1676146392513,431,GET HTTP Request,200,OK,Thread Group 1-16,text,true,,28545,138,20,20,https://jsonplaceholder.typicode.com/posts,411,0,335
1676146392713,281,GET HTTP Request,200,OK,Thread Group 1-18,text,true,,28549,138,20,20,https://jsonplaceholder.typicode.com/posts,255,0,174
1676146391416,1592,GET HTTP Request,200,OK,Thread Group 1-5,text,true,,28555,138,20,20,https://jsonplaceholder.typicode.com/posts,1079,0,855
1676146392747,276,POST HTTP Request,201,Created,Thread Group 1-15,text,true,,1134,426,21,21,https://jsonplaceholder.typicode.com/posts,276,0,0
1676146392769,286,PUT HTTP Request,200,OK,Thread Group 1-7,text,false,"The result was the wrong size: It was 1,017 bytes, but should have been less than or equal to 1,011 bytes.",1017,298,21,21,https://jsonplaceholder.typicode.com/posts/1,286,0,0
1676146392314,753,GET HTTP Request,200,OK,Thread Group 1-14,text,true,,28552,138,21,21,https://jsonplaceholder.typicode.com/posts,278,0,192
1676146392788,327,PUT HTTP Request,200,OK,Thread Group 1-6,text,true,,1007,298,22,22,https://jsonplaceholder.typicode.com/posts/1,327,0,0
1676146391814,1315,GET HTTP Request,200,OK,Thread Group 1-9,text,true,,28549,138,22,22,https://jsonplaceholder.typicode.com/posts,1081,0,446
1676146392810,321,POST HTTP Request,201,Created,Thread Group 1-2,text,false,"The operation lasted too long: It took 321 milliseconds, but should not have lasted longer than 300 milliseconds.",1135,426,22,22,https://jsonplaceholder.typicode.com/posts,321,0,0
1676146392842,307,POST HTTP Request,201,Created,Thread Group 1-8,text,false,"The operation lasted too long: It took 307 milliseconds, but should not have lasted longer than 300 milliseconds.",1134,426,22,22,https://jsonplaceholder.typicode.com/posts,307,0,0
1676146392882,272,POST HTTP Request,201,Created,Thread Group 1-17,text,true,,1148,426,22,22,https://jsonplaceholder.typicode.com/posts,272,0,0
1676146392141,1017,GET HTTP Request,200,OK,Thread Group 1-12,text,true,,28555,138,22,22,https://jsonplaceholder.typicode.com/posts,363,0,133
1676146392814,349,GET HTTP Request,200,OK,Thread Group 1-19,text,true,,28555,138,22,22,https://jsonplaceholder.typicode.com/posts,256,0,182
1676146392885,293,POST HTTP Request,201,Created,Thread Group 1-1,text,false,"The result was the wrong size: It was 1,113 bytes, but should have been greater or equal to 1,119 bytes.",1128,426,22,22,https://jsonplaceholder.typicode.com/posts,293,0,0
1676146391315,1868,GET HTTP Request,200,OK,Thread Group 1-4,text,true,,28553,138,22,22,https://jsonplaceholder.typicode.com/posts,1148,0,936
1676146392914,280,GET HTTP Request,200,OK,Thread Group 1-20,text,true,,28561,138,22,22,https://jsonplaceholder.typicode.com/posts,255,0,178
1676146392891,306,POST HTTP Request,201,Created,Thread Group 1-10,text,false,"The operation lasted too long: It took 306 milliseconds, but should not have lasted longer than 300 milliseconds.",1136,426,22,22,https://jsonplaceholder.typicode.com/posts,306,0,0
1676146392895,315,POST HTTP Request,201,Created,Thread Group 1-3,text,false,"The operation lasted too long: It took 315 milliseconds, but should not have lasted longer than 300 milliseconds.",1148,426,22,22,https://jsonplaceholder.typicode.com/posts,315,0,0
